typing_speed_wpm,avg_keystroke_interval_ms,backspace_ratio,pause_frequency_per_min,mouse_velocity_px_s,mouse_distance_px,click_frequency_per_min,idle_time_seconds,error_rate,response_time_seconds,retry_count,context_switches_per_min,cognitive_load
50.91,285.03,0.1719,5,291.62,1551.52,22.61,7.51,0.1051,8.0,2,2,1
52.82,234.87,0.1143,8,161.07,2397.75,19.84,4.2,0.1141,8.77,5,3,1
51.7,224.57,0.1116,6,333.26,1243.5,12.01,2.53,0.0356,7.03,0,2,1
73.18,214.17,0.0828,2,347.45,1447.23,15.74,8.84,0.0567,4.95,0,0,0
47.26,291.96,0.1216,11,225.27,2110.32,33.1,12.23,0.1296,11.79,3,7,2
63.94,277.86,0.1327,3,343.6,2093.61,15.98,5.08,0.08,8.07,1,2,1
61.8,218.76,0.0528,7,292.81,1994.54,20.13,7.61,0.0723,10.55,2,3,1
29.96,381.11,0.1518,10,248.55,1922.46,30.16,16.57,0.2167,11.56,5,10,2
65.2,173.71,0.0653,3,270.26,1418.51,14.8,3.42,0.08,3.03,0,4,0
33.98,376.93,0.1889,16,161.48,2454.78,34.14,13.22,0.2058,8.39,7,8,2
27.85,371.28,0.1549,11,181.14,2299.08,32.41,14.16,0.1683,18.09,7,7,2
57.23,202.29,0.0285,1,479.44,1719.45,19.83,1.13,0.0546,3.53,0,2,0
61.54,147.82,0.0178,4,331.32,1080.9,13.15,2.59,0.0444,4.48,0,4,0
33.06,323.8,0.0589,5,185.56,1439.19,20.46,9.49,0.125,8.96,1,3,1
19.32,293.79,0.2223,15,137.16,2282.38,35.17,13.93,0.2189,18.08,2,6,2
67.69,209.39,0.0439,1,373.01,1909.71,12.12,6.56,0.0325,4.53,1,4,0
50.4,306.37,0.1025,9,361.99,1533.92,15.75,9.06,0.0956,8.56,2,4,1
48.85,180.31,0.0254,4,384.73,804.69,21.92,2.75,0.0339,5.35,3,4,0
41.51,330.16,0.1469,10,197.11,2401.31,30.64,9.13,0.1958,15.04,3,8,2
31.56,397.93,0.1493,14,99.65,2000.97,36.82,9.5,0.1168,10.02,8,6,2
